VHI_Parea data for UKR  Province= 6: Donets'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 25   0.66,  1.19,  3.05,  4.15,  6.01,  7.82, 10.83, 10.78, 12.02, 10.52,  9.01,  8.62,  6.32,  4.60,  1.94,  1.55,  0.75,  0.18,  0.00,  0.00,  0.00
2013 26   0.80,  1.15,  2.92,  4.68,  6.63,  7.91, 11.31, 11.80,  9.99,  9.90,  9.10,  7.25,  5.66,  5.35,  2.74,  1.59,  0.97,  0.27,  0.00,  0.00,  0.00
2013 27   1.02,  1.94,  3.58,  5.74,  6.94, 10.47,  9.41, 10.69, 10.16,  9.37,  7.56,  7.25,  6.14,  4.42,  2.52,  1.86,  0.84,  0.09,  0.00,  0.00,  0.00
2013 28   0.84,  1.86,  4.33,  5.88,  8.57,  9.01,  9.54, 10.61,  9.68,  8.88,  8.13,  7.34,  5.70,  4.02,  2.78,  1.94,  0.88,  0.00,  0.00,  0.00,  0.00
2013 29   0.62,  2.03,  4.68,  6.67,  8.66,  9.06, 10.08,  9.54,  8.75,  9.68,  7.29,  7.47,  5.57,  4.02,  2.96,  1.99,  0.75,  0.18,  0.00,  0.00,  0.00
2013 30   0.57,  3.31,  5.48,  6.63,  9.28,  9.10, 10.25,  9.15,  8.71,  8.48,  7.56,  7.60,  4.90,  3.76,  2.61,  1.59,  0.88,  0.09,  0.04,  0.00,  0.00
2013 31   1.15,  3.31,  5.79,  7.69,  9.54,  9.90,  9.59,  9.59,  8.48,  8.93,  7.20,  6.19,  5.26,  3.31,  2.08,  1.15,  0.62,  0.22,  0.00,  0.00,  0.00
2013 32   1.24,  2.96,  6.81,  6.76,  9.50, 10.16, 10.30,  9.41,  8.93,  9.46,  7.20,  6.01,  4.95,  2.70,  1.72,  0.93,  0.62,  0.35,  0.00,  0.00,  0.00
2013 33   1.15,  2.17,  4.38,  7.21,  8.40, 10.08, 11.27, 10.26,  9.59,  9.86,  7.38,  6.23,  4.42,  3.54,  1.90,  0.93,  0.75,  0.35,  0.13,  0.00,  0.00
2013 34   0.49,  1.11,  2.48,  4.55,  5.79, 10.74, 12.82, 11.14, 11.58,  9.55,  8.44,  6.59,  4.91,  5.04,  1.95,  1.41,  0.66,  0.57,  0.09,  0.09,  0.00
2013 35   0.04,  0.13,  0.49,  1.50,  3.45,  6.15, 11.10, 13.26, 12.38, 11.72, 11.98,  7.69,  6.90,  5.31,  3.58,  2.21,  1.06,  0.88,  0.13,  0.04,  0.00
2013 36   0.00,  0.00,  0.00,  0.09,  0.66,  1.81,  5.84, 10.12, 11.89, 13.62, 23.21, 10.92,  6.45,  6.23,  3.36,  2.74,  1.72,  0.97,  0.31,  0.04,  0.00
2013 37   0.00,  0.00,  0.00,  0.00,  0.18,  0.44,  2.52,  6.28,  9.50, 13.93, 31.52, 10.04,  9.33,  6.72,  3.76,  2.61,  1.72,  0.97,  0.31,  0.13,  0.04
2013 38   0.00,  0.00,  0.00,  0.00,  0.00,  0.31,  1.19,  4.73,  8.53, 11.67, 30.49, 12.02, 11.00,  6.98,  5.35,  3.67,  2.08,  0.97,  0.75,  0.18,  0.09
2013 39   0.00,  0.00,  0.00,  0.00,  0.00,  0.18,  1.19,  3.67,  8.26, 12.86, 22.62, 13.74, 12.28,  8.35,  6.58,  4.73,  3.00,  1.46,  0.62,  0.40,  0.04
2013 40   0.00,  0.00,  0.00,  0.00,  0.04,  0.31,  0.84,  3.40,  6.89, 12.42, 17.72, 16.97, 13.21, 10.74,  6.81,  4.90,  3.18,  1.68,  0.49,  0.35,  0.04
2013 41   0.00,  0.00,  0.00,  0.00,  0.04,  0.49,  2.03,  4.11,  8.49, 13.40, 15.47, 15.83, 13.09, 10.17,  7.43,  4.33,  3.14,  1.28,  0.53,  0.18,  0.00
2013 42   0.00,  0.00,  0.00,  0.00,  0.31,  1.33,  3.93,  6.85, 13.62, 14.77, 16.49, 13.70, 11.18,  7.38,  5.57,  2.48,  1.68,  0.57,  0.09,  0.04,  0.00
2013 43   0.00,  0.04,  0.00,  0.35,  1.86,  4.87, 10.76, 15.45, 15.98, 15.89, 14.17,  8.94,  5.93,  3.28,  1.64,  0.58,  0.22,  0.04,  0.00,  0.00,  0.00
2013 44   0.00,  0.00,  0.93,  2.35,  7.09, 13.78, 15.73, 19.54, 14.58, 11.96,  7.13,  4.21,  2.08,  0.49,  0.09,  0.00,  0.04,  0.00,  0.00,  0.00,  0.00
2013 45   0.00,  0.40,  1.77,  4.20,  8.14, 12.21, 13.71, 13.49, 12.56, 11.28, 13.09,  6.72,  1.77,  0.44,  0.13,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00
