VHI_Parea data for UKR  Province= 13: Kirovohrad,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_VHI_Parea_201301.txt<br><tt><pre>year,week,, provinceID, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95,100
2013 25   0.00,  0.00,  0.05,  0.14,  0.33,  0.62,  1.48,  2.10,  4.73,  6.69,  9.84, 11.89, 14.52, 14.23, 13.47,  9.84,  7.45,  1.96,  0.53,  0.14,  0.00
2013 26   0.00,  0.00,  0.00,  0.05,  0.29,  0.67,  1.29,  3.15,  3.34,  6.78,  8.12, 12.66, 14.04, 14.47, 12.75,  9.60,  8.36,  3.44,  0.91,  0.10,  0.00
2013 27   0.00,  0.00,  0.05,  0.14,  0.19,  0.86,  1.48,  2.87,  4.11,  6.45,  8.79, 10.55, 12.94, 13.37, 12.32, 11.37,  8.55,  4.63,  1.15,  0.19,  0.00
2013 28   0.00,  0.00,  0.05,  0.10,  0.53,  1.00,  1.81,  3.30,  4.58,  6.16,  8.55, 10.22, 11.99, 13.18, 12.27, 12.03,  8.88,  4.54,  0.67,  0.14,  0.00
2013 29   0.00,  0.00,  0.14,  0.05,  0.43,  1.67,  2.48,  3.01,  5.68,  6.26,  7.59,  9.03, 11.84, 13.47, 13.32, 11.08,  9.03,  4.11,  0.72,  0.10,  0.00
2013 30   0.00,  0.00,  0.05,  0.33,  0.91,  2.29,  2.48,  4.15,  5.01,  6.83,  7.74,  9.89, 13.28, 12.85, 14.14,  9.46,  7.35,  2.53,  0.62,  0.10,  0.00
2013 31   0.00,  0.00,  0.19,  0.76,  1.72,  2.67,  3.34,  4.58,  6.21,  8.69, 10.27, 11.89, 12.37, 13.47, 10.32,  8.21,  3.63,  1.38,  0.29,  0.00,  0.00
2013 32   0.00,  0.05,  0.43,  1.05,  2.39,  2.82,  4.11,  6.11,  7.83, 10.03, 11.03, 12.70, 13.47, 10.79,  8.55,  5.64,  2.20,  0.76,  0.05,  0.00,  0.00
2013 33   0.00,  0.05,  0.81,  1.00,  1.77,  2.82,  4.49,  6.73,  8.02, 10.79, 12.03, 13.85, 11.27, 10.08,  8.26,  5.06,  1.96,  0.81,  0.19,  0.00,  0.00
2013 34   0.05,  0.19,  0.33,  0.53,  1.53,  1.91,  3.68,  6.16,  7.50, 11.89, 12.89, 12.27, 12.23, 11.08,  8.31,  5.21,  2.44,  1.34,  0.33,  0.14,  0.00
2013 35   0.05,  0.05,  0.10,  0.14,  0.19,  0.72,  2.20,  4.54,  6.54, 11.08, 13.42, 14.28, 15.43, 11.80,  9.31,  4.78,  3.44,  1.53,  0.29,  0.10,  0.05
2013 36   0.00,  0.00,  0.00,  0.00,  0.05,  0.14,  0.96,  2.34,  4.78,  9.36, 27.51, 19.63, 13.85,  9.03,  5.87,  4.15,  1.62,  0.53,  0.10,  0.10,  0.00
2013 37   0.00,  0.00,  0.00,  0.00,  0.00,  0.10,  0.38,  2.58,  5.06,  7.64, 43.08, 16.38, 10.46,  6.54,  4.25,  2.24,  1.00,  0.24,  0.00,  0.05,  0.00
2013 38   0.00,  0.00,  0.00,  0.00,  0.05,  0.05,  0.72,  2.10,  6.11, 11.37, 45.56, 14.04,  9.12,  5.35,  3.15,  1.34,  0.57,  0.29,  0.14,  0.05,  0.00
2013 39   0.00,  0.00,  0.00,  0.00,  0.05,  0.33,  1.62,  4.39,  9.26, 15.57, 39.40, 12.85,  8.17,  4.30,  1.96,  1.34,  0.38,  0.24,  0.10,  0.00,  0.05
2013 40   0.00,  0.00,  0.00,  0.00,  0.05,  0.62,  2.34,  5.31, 12.05, 19.07, 32.79, 12.76,  7.84,  3.63,  2.01,  0.91,  0.48,  0.00,  0.10,  0.05,  0.00
2013 41   0.00,  0.00,  0.00,  0.10,  0.72,  2.39,  5.69, 11.39, 18.33, 21.48, 18.33, 10.91,  6.12,  2.63,  0.81,  0.72,  0.33,  0.05,  0.00,  0.00,  0.00
2013 42   0.00,  0.10,  0.24,  1.05,  3.50,  5.27, 10.25, 16.91, 18.68, 17.00, 11.93,  7.76,  4.17,  2.16,  0.57,  0.24,  0.14,  0.05,  0.00,  0.00,  0.00
2013 43   0.00,  0.10,  0.58,  1.97,  5.39, 10.68, 15.64, 19.83, 17.23, 12.03,  7.51,  5.63,  2.21,  0.82,  0.19,  0.05,  0.10,  0.05,  0.00,  0.00,  0.00
2013 44   0.05,  0.24,  1.55,  4.99, 11.92, 19.05, 22.15, 16.14, 10.42,  6.01,  3.97,  1.89,  1.16,  0.19,  0.19,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2013 45   0.00,  0.58,  2.36,  6.83, 12.07, 15.87, 18.08, 14.57, 11.59,  7.45,  5.38,  3.12,  1.35,  0.53,  0.19,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00
2013 46   0.00,  0.29,  1.39,  4.46,  9.51, 15.17, 16.27, 15.94, 13.35, 10.08,  6.87,  3.65,  1.82,  0.62,  0.29,  0.19,  0.10,  0.00,  0.00,  0.00,  0.00
2013 47   0.00,  0.14,  1.05,  3.26,  6.42, 11.69, 16.71, 17.43, 14.27, 11.11,  7.85,  5.17,  3.07,  0.81,  0.57,  0.29,  0.14,  0.00,  0.00,  0.00,  0.00
2013 48   0.00,  0.10,  0.57,  2.16,  6.56, 11.26, 14.66, 16.82, 14.14, 12.65,  7.71,  7.19,  3.55,  1.58,  0.77,  0.19,  0.00,  0.10,  0.00,  0.00,  0.00
2013 49   0.00,  0.00,  0.72,  1.87,  5.75, 10.98, 14.57, 15.82, 15.10, 12.46, 10.26,  5.56,  4.27,  1.73,  0.62,  0.24,  0.05,  0.00,  0.00,  0.00,  0.00
2013 50   0.00,  0.10,  1.15,  3.74,  7.92, 10.94, 14.30, 15.21, 13.39, 13.34,  8.93,  6.14,  2.83,  1.44,  0.24,  0.29,  0.00,  0.05,  0.00,  0.00,  0.00
2013 51   0.00,  0.10,  1.10,  3.31,  8.83, 11.13, 13.63, 14.44, 16.51, 10.99, 11.13,  4.51,  2.35,  1.15,  0.62,  0.05,  0.14,  0.00,  0.00,  0.00,  0.00
2013 52   0.00,  0.24,  0.58,  2.49,  6.42, 12.32, 14.72, 17.26, 15.72, 13.18,  8.96,  4.70,  1.97,  0.91,  0.34,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00
2014 01   0.00,  0.05,  0.53,  1.05,  3.59,  8.42, 14.26, 17.70, 20.05, 14.93, 10.62,  4.83,  2.44,  1.20,  0.29,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
2014 02   0.00,  0.00,  0.10,  0.57,  0.96,  4.54, 10.09, 16.79, 21.57, 19.27, 13.39,  7.27,  3.59,  1.34,  0.38,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00
2014 03   0.00,  0.00,  0.05,  0.19,  0.43,  2.29,  7.27, 14.24, 21.56, 21.65, 15.34,  9.51,  4.64,  1.96,  0.67,  0.10,  0.10,  0.00,  0.00,  0.00,  0.00
2014 04   0.00,  0.00,  0.00,  0.05,  0.38,  1.86,  6.54, 14.28, 22.30, 21.82, 16.05,  9.07,  4.49,  2.10,  0.91,  0.10,  0.00,  0.05,  0.00,  0.00,  0.00
2014 05   0.00,  0.00,  0.00,  0.05,  0.43,  2.53,  8.93, 17.67, 23.83, 21.06, 13.42,  6.64,  3.34,  1.34,  0.48,  0.29,  0.00,  0.00,  0.00,  0.00,  0.00
2014 06   0.00,  0.00,  0.00,  0.05,  0.62,  3.11, 10.46, 18.49, 24.99, 20.35, 10.99,  6.21,  2.44,  1.19,  0.72,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00
2014 07   0.00,  0.00,  0.00,  0.10,  1.43,  4.25,  9.85, 17.26, 22.85, 19.02, 12.14,  6.88,  3.20,  1.96,  0.67,  0.14,  0.24,  0.00,  0.00,  0.00,  0.00
2014 08   0.00,  0.00,  0.05,  0.48,  2.53,  6.40, 10.51, 17.06, 18.73, 18.63, 12.71,  7.50,  3.39,  1.34,  0.53,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00
2014 09   0.00,  0.05,  0.14,  1.19,  3.30,  7.07, 10.18, 15.81, 17.30, 19.25, 13.90,  7.84,  3.11,  0.62,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
